Wavelength	Spectrum00000.asd	Spectrum00001.asd	Spectrum00002.asd	Spectrum00003.asd	Spectrum00004.asd	Spectrum00005.asd	Spectrum00006.asd	Spectrum00007.asd	Spectrum00008.asd	Spectrum00009.asd	Spectrum00010.asd	Spectrum00011.asd	Spectrum00012.asd
401	0.111171775339634	0.215386513938448	0.118562871899461	1.15051141253945E-02	6.63163311953363E-02	6.58633717220063E-02	6.19349743201451E-02	5.60347847263459E-02	6.25573850002443E-02	1.37428331972738E-02	0.10365473040726	8.21964529882062E-02	 6.45382840007068E-02 
402	0.111696452902854	0.216187177222233	0.119175744172488	1.17079615004721E-02	6.62106017325784E-02	6.62600632775697E-02	6.25456608020901E-02	5.66684021230613E-02	6.26881173158837E-02	1.37564711215144E-02	0.102943679268564	8.22404230099725E-02	 6.49065447910676E-02 
403	0.112081757688027	0.216908178293756	0.119672741190853	0.012045650346882	6.61041428705861E-02	6.66020606459338E-02	6.30575431817739E-02	5.71871658746358E-02	6.27030610142322E-02	1.36627486622817E-02	0.102286522792319	8.22364911949094E-02	 6.52456460270821E-02 
404	0.112219640617641	0.217479580410995	0.120036033418359	1.24493271435002E-02	6.59965750374511E-02	6.69122043928745E-02	6.33553881075929E-02	5.77013740169832E-02	0.062598692841399	1.34094510230757E-02	0.101760092546604	8.22482971472955E-02	 6.54877652971898E-02 
405	0.112392107883028	0.217739305719184	0.120565551845544	0.012769277111081	6.59484478875906E-02	6.74418989052537E-02	6.37122538638516E-02	5.81469746761763E-02	6.27070901432882E-02	1.31523089826885E-02	0.101348477929894	8.21743875784665E-02	 6.56299100888205E-02 
406	0.112543079241865	0.217931014360911	0.120928531600089	1.30266889307171E-02	6.57473394359973E-02	6.80374593646167E-02	6.41683948238078E-02	5.85576446390221E-02	6.26182902366353E-02	1.30499679305904E-02	0.100956907790722	8.19309200977942E-02	 6.56047727061893E-02 
407	0.112407079579916	0.218244496232889	0.120965767340414	1.33063933830303E-02	6.51844340867556E-02	6.85028408949442E-02	6.45684130327612E-02	5.89362205390978E-02	6.20152178351434E-02	1.30048750852766E-02	0.10045638566456	8.13860131363381E-02	 6.53470323727573E-02 
408	0.11243608359641	0.218622177122739	0.121386788104275	1.36064957952753E-02	6.49174262723403E-02	6.88659715194047E-02	6.50352944061988E-02	5.91945783438802E-02	6.16325595477359E-02	1.28908465613089E-02	0.100192754615029	8.13410027390687E-02	 6.52572032622563E-02 
409	0.112599622794098	0.218949611212695	0.122019542728262	1.38023248184329E-02	6.48706796030543E-02	6.91247329952987E-02	6.54711931374851E-02	5.92892610551014E-02	6.14474461227597E-02	1.27075141368218E-02	0.100028550826549	8.16065851739068E-02	 6.52270152629453E-02 
410	0.112748829688877	0.219166069198753	0.12230625606788	1.40625699008027E-02	6.46194413900655E-02	6.95389004589024E-02	6.57334517085032E-02	5.95390755788081E-02	6.10032889186086E-02	0.012508846743692	9.96250030412981E-02	8.16588780003877E-02	 6.50936386247211E-02 
411	0.113022920829487	0.219494049357903	0.122595533074703	1.42676162765788E-02	6.43890075252106E-02	6.99539923150929E-02	6.60207965739258E-02	5.98462020472312E-02	6.06335836868079E-02	1.23810309772257E-02	9.93248441011619E-02	8.17729330014762E-02	 6.51121454056096E-02 
412	0.113396735333134	0.2200769918753	0.123013776260888	1.44101018558411E-02	6.42804111084918E-02	7.02970858266976E-02	6.63410172306809E-02	6.00417765527567E-02	6.04174021437997E-02	1.22558433658221E-02	9.92661026911883E-02	8.18195447822349E-02	 6.52243984280918E-02 
413	0.113597005048654	0.220694769463385	0.123462319764774	1.48826252809751E-02	6.41293307671665E-02	7.05053848144098E-02	0.066553615380842	0.060323891994002	6.02898311312198E-02	0.012155135267192	9.92000326060924E-02	8.19788219101399E-02	 6.51860831618868E-02 
414	0.113692793890747	0.221327182117196	0.123859820227882	1.54271352194564E-02	6.39397338228141E-02	7.05707576337451E-02	6.66397846223231E-02	6.05679905332361E-02	6.01486459425327E-02	0.012067082893667	9.91222787787538E-02	8.21591206635609E-02	 6.51842596306287E-02 
415	0.113912973259306	0.221692569102506	0.124186034250183	1.54288396314025E-02	6.36445032722323E-02	0.070650423611464	0.066760561450072	6.05272435723568E-02	0.059704545969329	1.16771168153509E-02	9.89468980555424E-02	8.19763866896674E-02	 6.53109548545583E-02 
416	0.114067400126961	0.22227146697436	0.124693449243403	1.55173039569659E-02	6.33663009328537E-02	7.07391639140951E-02	0.066895376818429	6.04973915015519E-02	5.93993123394597E-02	1.14848419576359E-02	9.88107799590649E-02	0.081975930457754	 6.53134349531201E-02 
417	0.1141862565515	0.223106501241956	0.125421821259261	1.58521258653971E-02	0.063118169576317	7.08358279242261E-02	6.70328130491971E-02	6.05734024917977E-02	5.93677164739307E-02	1.16132724684753E-02	9.87805028905657E-02	8.23180751262715E-02	 6.52126661643992E-02 
418	0.114536863574844	0.22365827081591	0.125898799438172	1.61152765715227E-02	6.29690227392623E-02	7.07783691452958E-02	6.70762540500967E-02	6.04820668681494E-02	5.91508980062301E-02	1.14259962929954E-02	9.88569279975451E-02	8.23493212506831E-02	 6.52310034957981E-02 
419	0.11515721012808	0.224177312558775	0.126384933524326	1.63330179450537E-02	6.30878873489462E-02	7.07968502996709E-02	6.71982492118132E-02	6.04972300146689E-02	0.058921021967792	1.11994302382511E-02	9.91781878487794E-02	8.23628732827993E-02	 6.53753276659961E-02 
420	0.115874984308631	0.225091203720858	0.127235937413745	1.67266451928072E-02	0.063488532633889	7.12274616166421E-02	0.067589840651309	6.08101411429215E-02	5.91261429177477E-02	1.14197248452226E-02	9.97482149649534E-02	8.27909491803812E-02	 6.58111152366599E-02 
421	0.11619578261429	0.225900514959988	0.127808817991754	1.69527078601956E-02	6.34844275352667E-02	7.12961051057181E-02	6.75721559006649E-02	6.09039089115471E-02	5.89888920247987E-02	0.011496468516996	9.99305551101138E-02	8.30855707819068E-02	 6.58630234920309E-02 
422	0.116231185525014	0.226510294735804	0.128040811845278	1.70275773154171E-02	0.063033630291921	7.09657140685252E-02	6.71230985135826E-02	6.07122791344241E-02	5.84397552015577E-02	1.12910722571424E-02	9.97517032140168E-02	8.30974095605023E-02	 6.55806309644007E-02 
423	0.11662103937849	0.22729801039371	0.128366818402125	1.71188661448576E-02	6.27990921243208E-02	7.07380006551273E-02	6.70151822845752E-02	0.060411993058582	5.82263559829607E-02	1.10470282195252E-02	9.99779322069127E-02	8.30720858062699E-02	 6.56671300104508E-02 
424	0.117200867035991	0.228102612014322	0.128799722847091	1.72600034260981E-02	6.26481406648323E-02	0.070500536103496	6.69455714861387E-02	6.01386107717502E-02	5.81122509709002E-02	1.08490795322981E-02	0.100174586212155	8.31542874270661E-02	 0.065876267369537 
425	0.11773412857138	0.228885305481718	0.129287286608778	1.74769286027458E-02	6.25460518453536E-02	7.02025216195094E-02	0.066668899554811	6.00555411879976E-02	5.77983174689105E-02	1.06793628545179E-02	0.100159017292969	8.33211478744664E-02	 6.59389265586989E-02 
426	0.118428444993087	0.229817525372645	0.130029769595075	0.017886394113886	6.24636338002667E-02	6.99724229861731E-02	6.63324905648278E-02	5.99061292312103E-02	5.77022785870158E-02	1.06766093546361E-02	0.10040774938372	8.35662263271954E-02	 6.61810020614979E-02 
427	0.119197380598105	0.230794270343089	0.130836222716368	1.83086764699238E-02	6.24005784288182E-02	6.97300543150044E-02	6.60529739780451E-02	5.96964411172038E-02	5.77589441292656E-02	1.07805456952366E-02	0.100970488665611	8.37936179493281E-02	 6.65017829523326E-02 
428	0.119618621616642	0.23149622465073	0.13128548653824	1.82289546136299E-02	6.24304036070139E-02	6.94109745924735E-02	6.57824168389358E-02	5.94437860963129E-02	5.74092144076424E-02	1.06104420997411E-02	0.101394955625293	8.37567084590563E-02	 6.63976090830528E-02 
429	0.120133437752674	0.23230057195935	0.131677821257341	1.82653954800943E-02	6.25591380601504E-02	6.92641910361016E-02	6.56114919717723E-02	0.059183920416235	5.72009243862838E-02	0.01059442085502	0.102107776987146	8.38143803991312E-02	 6.64272894461236E-02 
430	0.120833929960442	0.233182713857331	0.132023598257325	0.018487118397301	0.062640141934125	6.93087201170652E-02	6.54921272935886E-02	0.058804726487657	5.72376911593258E-02	1.07213314130409E-02	0.103131853513341	8.39335171098798E-02	 0.066636588961952 
431	0.121201940880833	0.233634252044737	0.132169066985171	1.83216155991801E-02	6.23168771984982E-02	6.91425590460319E-02	0.065215636576526	5.81150143711268E-02	5.66666308428298E-02	1.07296300047342E-02	0.104066303000076	8.35976252074974E-02	 6.63142253845158E-02 
432	0.121491494672944	0.234129295477072	0.132369854845602	1.80379675497394E-02	6.19655769305478E-02	0.068808716035628	6.48593782243811E-02	5.74455960589799E-02	5.59636170414478E-02	0.010573219001123	0.104864814787094	0.083270928472067	 6.58388884017976E-02 
433	0.122050294107557	0.235314684139293	0.133007785260885	1.82080169025865E-02	6.20978119452783E-02	6.86205247097411E-02	6.46858632019306E-02	5.73608537936953E-02	5.58051764343659E-02	1.02454842625176E-02	0.105666830552984	8.37384233021518E-02	 6.58327262299188E-02 
434	0.122715472658709	0.236349836443488	0.13357036868516	1.82689794186681E-02	6.21866634804001E-02	6.83993846605862E-02	6.44208064589035E-02	5.72738920965745E-02	5.57027433522138E-02	9.99930702026692E-03	0.106381684844783	8.41282069839062E-02	 6.60805406970213E-02 
435	0.123494582661054	0.237118295073497	0.133977675993003	1.81841794279582E-02	6.20677258714954E-02	6.81218874019145E-02	6.41280642804991E-02	0.057100529746646	5.55455728590742E-02	9.84860449515414E-03	0.107005034404045	0.084304983570418	 0.066395935938092 
436	0.12450740267464	0.23843992140619	0.134502990689859	1.84219458636286E-02	6.19192695955319E-02	6.79642315198706E-02	6.41916065284968E-02	5.70707774630545E-02	5.55239076848401E-02	9.93092995179383E-03	0.107846935919216	8.47228242285424E-02	 6.65303364661785E-02 
437	0.125423612514116	0.23972203497378	0.135040458074292	1.85813250279769E-02	6.18729162081566E-02	6.79207170372581E-02	6.42741894357179E-02	5.70805522489344E-02	5.54772651474546E-02	9.95725871490019E-03	0.108922525328183	8.51253460544267E-02	 6.66620552402377E-02 
438	0.126061284228556	0.240590568353622	0.135470807233429	1.84473631087966E-02	6.19754195218633E-02	0.068014179496201	6.41602670649994E-02	5.70528502315609E-02	5.52074725840465E-02	9.78232961531057E-03	0.110206282365574	8.52874489068481E-02	 6.67934472863677E-02 
439	0.126905164428322	0.241512872041096	0.136013224448039	1.86492394263316E-02	6.22039475417906E-02	6.83179195654654E-02	6.43291348381043E-02	5.71857542128227E-02	5.53043423543718E-02	9.87611022787795E-03	0.111855641210417	8.57072133598982E-02	 6.70530685115279E-02 
440	0.127796977639251	0.242453908640879	0.136585826755137	0.019044074942467	6.24228008021771E-02	6.86652397606359E-02	6.47222898636446E-02	5.74358559053879E-02	5.55095831187754E-02	1.00838456910624E-02	0.113598324412769	8.62870853069542E-02	 6.73436158867962E-02 
441	0.128188857513431	0.24318697467115	0.136829221415371	1.89767615706426E-02	6.23303772282268E-02	6.87766497064695E-02	6.50331851795284E-02	5.74731450428089E-02	5.50537247558478E-02	9.93824162634398E-03	0.114677870376529	8.66437418869466E-02	 6.73666598890641E-02 
442	0.128725370504472	0.24402546017322	0.137303441136257	0.018925791921447	6.24163767028566E-02	6.90650660490067E-02	0.065243760767439	5.76749210496734E-02	5.47344053497996E-02	9.84803205853827E-03	0.115851737103255	8.71146514944356E-02	 6.74425322663711E-02 
443	0.129501784380016	0.245065036471721	0.138094511940638	1.90127404404329E-02	6.27006937442867E-02	6.94839367857231E-02	0.065378236014705	5.80692212089924E-02	5.48092797625582E-02	9.92480758694758E-03	0.117315279232897	8.77075532177523E-02	 6.76457591475244E-02 
444	0.130089715470659	0.245890908743233	0.138576711596825	1.89805409221226E-02	6.27410420284506E-02	6.97042094152427E-02	6.57101346531881E-02	5.83133934635758E-02	5.47888691551886E-02	9.8650336249914E-03	0.118573057852293	8.81796829004511E-02	 6.76594853512516E-02 
445	0.13064266007533	0.2466169698895	0.138964653088605	1.90109268334735E-02	6.27745877566932E-02	6.99762168811355E-02	0.066233546613508	5.86023169140105E-02	5.47811653606198E-02	9.80289007595286E-03	0.119866776194175	8.85994330653608E-02	 6.76852569131698E-02 
446	0.13119122929474	0.247479019365491	0.139541655168576	1.92999590126869E-02	6.30999612156826E-02	7.06363077445731E-02	6.66984603379627E-02	5.91416491393244E-02	5.48712508493128E-02	9.96870007026397E-03	0.121510404226505	8.91774652100614E-02	 6.78517502800123E-02 
447	0.131676008881241	0.248094811693799	0.139994999840745	0.01944795960296	6.33421462034368E-02	7.12591873831988E-02	6.72135212009237E-02	5.96806830192694E-02	5.48424543225795E-02	1.01173244392921E-02	0.123038959451837	8.96850410753991E-02	 6.80026176573503E-02 
448	0.132092851798091	0.248513062120264	0.140289337350637	1.93976511578565E-02	6.34594358396823E-02	7.17411092526335E-02	6.77777907933536E-02	6.01311354095413E-02	5.47031797015092E-02	1.01436729837672E-02	0.124319775759594	9.00958965629091E-02	 6.81181641416633E-02 
449	0.132559199581928	0.249349011899375	0.14083760361815	1.95123344916454E-02	6.36503173466554E-02	7.22771149158713E-02	6.84705312315733E-02	6.05346016807738E-02	5.47238579505718E-02	1.00998302277885E-02	0.125623589070471	9.07696591121407E-02	 6.83700078592096E-02 
450	0.13295904767026	0.250265704884073	0.141508459277118	1.97036068413461E-02	0.063806206149819	7.27524261656794E-02	6.90449894569012E-02	6.09393068336717E-02	5.48346007326658E-02	1.00586291831095E-02	0.126865115681731	9.14835306825319E-02	 6.86170855627676E-02 
451	0.133185542842264	0.25084192903367	0.142038022450354	1.98235410162927E-02	0.063819910569808	7.30472953851144E-02	6.93310018349357E-02	6.13172931989208E-02	5.48949483544869E-02	1.00627876128192E-02	0.127898794924445	9.20213560349742E-02	 6.87794043549466E-02 
